# depth maps
# file: 'rgbd_dataset_freiburg2_desk.bag'
# timestamp filename
1311868164.338541 depth/1311868164.338541.png
1311868164.373557 depth/1311868164.373557.png
1311868164.407784 depth/1311868164.407784.png
1311868164.437021 depth/1311868164.437021.png
1311868164.477039 depth/1311868164.477039.png
1311868164.507698 depth/1311868164.507698.png
1311868164.539395 depth/1311868164.539395.png
1311868164.573050 depth/1311868164.573050.png
1311868164.607892 depth/1311868164.607892.png
1311868164.637394 depth/1311868164.637394.png
1311868164.677534 depth/1311868164.677534.png
1311868164.709615 depth/1311868164.709615.png
1311868164.737662 depth/1311868164.737662.png
1311868164.779225 depth/1311868164.779225.png
1311868164.809404 depth/1311868164.809404.png
1311868164.842880 depth/1311868164.842880.png
1311868164.874612 depth/1311868164.874612.png
1311868164.905168 depth/1311868164.905168.png
1311868164.941784 depth/1311868164.941784.png
1311868164.975315 depth/1311868164.975315.png
1311868165.006447 depth/1311868165.006447.png
1311868165.043301 depth/1311868165.043301.png
1311868165.077013 depth/1311868165.077013.png
1311868165.107584 depth/1311868165.107584.png
1311868165.140672 depth/1311868165.140672.png
1311868165.173990 depth/1311868165.173990.png
1311868165.207186 depth/1311868165.207186.png
1311868165.241540 depth/1311868165.241540.png
1311868165.276310 depth/1311868165.276310.png
1311868165.309970 depth/1311868165.309970.png
1311868165.341279 depth/1311868165.341279.png
1311868165.373166 depth/1311868165.373166.png
1311868165.409979 depth/1311868165.409979.png
1311868165.441768 depth/1311868165.441768.png
1311868165.476336 depth/1311868165.476336.png
1311868165.507271 depth/1311868165.507271.png
1311868165.546047 depth/1311868165.546047.png
1311868165.574653 depth/1311868165.574653.png
1311868165.607633 depth/1311868165.607633.png
1311868165.645161 depth/1311868165.645161.png
1311868165.678824 depth/1311868165.678824.png
1311868165.704839 depth/1311868165.704839.png
1311868165.744880 depth/1311868165.744880.png
1311868165.773032 depth/1311868165.773032.png
1311868165.812385 depth/1311868165.812385.png
1311868165.841804 depth/1311868165.841804.png
1311868165.877856 depth/1311868165.877856.png
1311868165.906859 depth/1311868165.906859.png
1311868165.940588 depth/1311868165.940588.png
1311868165.976324 depth/1311868165.976324.png
