# accelerometer data
# file: 'rgbd_dataset_freiburg2_desk.bag'
# timestamp ax ay az
1311868163.665996 0.502905 8.369778 -4.418381
1311868163.666974 0.502905 8.369778 -4.418381
1311868163.670244 0.598697 8.321882 -4.609964
1311868163.671343 0.598697 8.321882 -4.609964
1311868163.674848 0.455009 8.369778 -4.609964
1311868163.675846 0.455009 8.369778 -4.609964
1311868163.679093 0.502905 8.321882 -4.633912
1311868163.680089 0.502905 8.321882 -4.633912
1311868163.681338 0.502905 8.321882 -4.633912
1311868163.682465 0.502905 8.321882 -4.633912
1311868163.685968 0.419088 8.273987 -4.633912
1311868163.686964 0.419088 8.273987 -4.633912
1311868163.690366 0.407114 8.226091 -4.993129
1311868163.691384 0.407114 8.226091 -4.993129
1311868163.694847 0.419088 8.130300 -4.897338
1311868163.695847 0.419088 8.130300 -4.897338
1311868163.699118 0.323296 8.321882 -4.897338
1311868163.700151 0.323296 8.321882 -4.897338
1311868163.701401 0.323296 8.321882 -4.897338
1311868163.702517 0.323296 8.321882 -4.897338
1311868163.705994 0.407114 8.321882 -4.993129
1311868163.707153 0.407114 8.321882 -4.993129
1311868163.710371 0.407114 8.321882 -4.705755
1311868163.711373 0.407114 8.321882 -4.705755
1311868163.714992 0.419088 8.321882 -4.945234
1311868163.715996 0.419088 8.321882 -4.945234
1311868163.719314 0.407114 8.321882 -4.993129
1311868163.720246 0.407114 8.321882 -4.993129
1311868163.723869 0.407114 8.513465 -4.801547
1311868163.724847 0.407114 8.513465 -4.801547
1311868163.726121 0.407114 8.513465 -4.801547
1311868163.727151 0.407114 8.513465 -4.801547
1311868163.730370 0.455009 8.513465 -4.801547
1311868163.731373 0.455009 8.513465 -4.801547
1311868163.734997 0.502905 8.417674 -4.621938
1311868163.735995 0.502905 8.417674 -4.621938
1311868163.739243 0.598697 8.513465 -4.609964
1311868163.740249 0.598697 8.513465 -4.609964
1311868163.741499 0.598697 8.513465 -4.609964
1311868163.742891 0.598697 8.513465 -4.609964
1311868163.746142 0.455009 8.345830 -4.586016
1311868163.747104 0.455009 8.345830 -4.586016
1311868163.750356 0.502905 8.321882 -4.609964
1311868163.751353 0.502905 8.321882 -4.609964
1311868163.754853 0.419088 8.321882 -4.418381
1311868163.755997 0.419088 8.321882 -4.418381
1311868163.759090 0.502905 8.321882 -4.609964
1311868163.760248 0.502905 8.321882 -4.609964
1311868163.761480 0.502905 8.321882 -4.609964
1311868163.762735 0.502905 8.321882 -4.609964
1311868163.766126 0.431062 8.321882 -4.621938
1311868163.767126 0.431062 8.321882 -4.621938
1311868163.770372 0.407114 8.321882 -4.609964
1311868163.771373 0.407114 8.321882 -4.609964
1311868163.774996 0.407114 8.321882 -4.801547
1311868163.775988 0.407114 8.321882 -4.801547
1311868163.779248 0.407114 8.321882 -4.801547
1311868163.780269 0.407114 8.321882 -4.801547
1311868163.783896 0.395140 8.345830 -4.705755
1311868163.784870 0.395140 8.345830 -4.705755
1311868163.785877 0.395140 8.345830 -4.705755
1311868163.789264 0.407114 8.417674 -4.705755
1311868163.790229 0.407114 8.417674 -4.705755
1311868163.793845 0.407114 8.513465 -4.993129
1311868163.794855 0.407114 8.513465 -4.993129
1311868163.796126 0.407114 8.513465 -4.993129
1311868163.797108 0.407114 8.513465 -4.993129
1311868163.800362 0.407114 8.369778 -4.993129
1311868163.801378 0.407114 8.369778 -4.993129
1311868163.805000 0.371192 8.321882 -4.801547
1311868163.806002 0.371192 8.321882 -4.801547
1311868163.809254 0.407114 8.321882 -4.657859
1311868163.810255 0.407114 8.321882 -4.657859
1311868163.813893 0.455009 8.321882 -4.609964
1311868163.814873 0.455009 8.321882 -4.609964
1311868163.816129 0.455009 8.321882 -4.609964
1311868163.817125 0.455009 8.321882 -4.609964
1311868163.820243 0.407114 8.321882 -4.705755
1311868163.821373 0.407114 8.321882 -4.705755
1311868163.824875 0.407114 8.273987 -4.609964
1311868163.826000 0.407114 8.273987 -4.609964
1311868163.829101 0.407114 8.321882 -4.514172
1311868163.830251 0.407114 8.321882 -4.514172
1311868163.831374 0.407114 8.321882 -4.514172
1311868163.832506 0.407114 8.321882 -4.514172
1311868163.835989 0.502905 8.321882 -4.609964
1311868163.837000 0.502905 8.321882 -4.609964
1311868163.840275 0.407114 8.297935 -4.609964
1311868163.841253 0.407114 8.297935 -4.609964
1311868163.844875 0.419088 8.321882 -4.609964
1311868163.845855 0.419088 8.321882 -4.609964
1311868163.847002 0.419088 8.321882 -4.609964
1311868163.850245 0.407114 8.417674 -4.609964
1311868163.851249 0.407114 8.417674 -4.609964
1311868163.854851 0.407114 8.513465 -4.705755
1311868163.855874 0.407114 8.513465 -4.705755
1311868163.859129 0.419088 8.513465 -4.897338
1311868163.860253 0.419088 8.513465 -4.897338
1311868163.861374 0.419088 8.513465 -4.897338
1311868163.862508 0.419088 8.513465 -4.897338
1311868163.866124 0.407114 8.513465 -4.705755
1311868163.867118 0.407114 8.513465 -4.705755
1311868163.870378 0.502905 8.513465 -4.801547
1311868163.871361 0.502905 8.513465 -4.801547
1311868163.875001 0.598697 8.417674 -4.801547
1311868163.876001 0.598697 8.417674 -4.801547
1311868163.879256 0.502905 8.417674 -4.801547
1311868163.880257 0.502905 8.417674 -4.801547
1311868163.883863 0.598697 8.321882 -4.801547
1311868163.884892 0.598697 8.321882 -4.801547
1311868163.886151 0.598697 8.321882 -4.801547
1311868163.887115 0.598697 8.321882 -4.801547
1311868163.890361 0.431062 8.321882 -4.801547
1311868163.891382 0.431062 8.321882 -4.801547
1311868163.895058 0.598697 8.273987 -4.621938
1311868163.896044 0.598697 8.273987 -4.621938
1311868163.899252 0.455009 8.321882 -4.801547
1311868163.900242 0.455009 8.321882 -4.801547
1311868163.901504 0.455009 8.321882 -4.801547
1311868163.902724 0.455009 8.321882 -4.801547
1311868163.906134 0.455009 8.321882 -4.801547
1311868163.907118 0.455009 8.321882 -4.801547
1311868163.910382 0.407114 8.417674 -4.657859
1311868163.911368 0.407114 8.417674 -4.657859
1311868163.914989 0.455009 8.369778 -4.657859
1311868163.916000 0.455009 8.369778 -4.657859
1311868163.919271 0.502905 8.321882 -4.705755
1311868163.920258 0.502905 8.321882 -4.705755
1311868163.921883 0.502905 8.321882 -4.705755
1311868163.925005 0.502905 8.321882 -4.657859
1311868163.926005 0.502905 8.321882 -4.657859
1311868163.929256 0.431062 8.321882 -4.609964
1311868163.930261 0.431062 8.321882 -4.609964
1311868163.933869 0.598697 8.273987 -4.418381
1311868163.934898 0.598697 8.273987 -4.418381
1311868163.936151 0.598697 8.273987 -4.418381
1311868163.937150 0.598697 8.273987 -4.418381
1311868163.940418 0.502905 8.273987 -4.609964
1311868163.941400 0.502905 8.273987 -4.609964
1311868163.944882 0.455009 8.309909 -4.586016
1311868163.946009 0.455009 8.309909 -4.586016
1311868163.949142 0.598697 8.273987 -4.597990
1311868163.950245 0.598697 8.273987 -4.597990
1311868163.951368 0.598697 8.273987 -4.597990
1311868163.952514 0.598697 8.273987 -4.597990
1311868163.956026 0.502905 8.226091 -4.418381
